img	名字	元素	花费	类型	攻击	生命	文本	升级	稀有度	买入价格	卖出价格	编码	角色
ShardOfGratitude.png	谢恩之碎片	生命	3	永久			回合结束时治疗你3点生命。如果你的标记是生命，治疗量提高到5点。	谢恩之碎片（升级）	稀有		147	5cq	辅助牌
ShardOfGratitudeUpgraded.png	谢恩之碎片（升级）	生命	2	永久			回合结束时治疗你3点生命。如果你的标记是生命，治疗量提高到5点。		升级		1298	7ba	辅助牌
EmeraldShield.png	绿宝石之盾	生命	5	永久			盾：减少1点伤害。法术将反弹给你的对手。无法被摧毁或偷取。	翡翠之盾	普通	101	69	5c4	辅助牌
JadeShield.png	翡翠之盾	生命	7	永久			盾：减少2点伤害。法术将反弹给你的对手。无法被摧毁或偷取。		升级	1601	1163	7ak	辅助牌
Heal.png	治疗	生命	3	法术			治疗20点生命。	高级治疗	普通	27	19	5c2	辅助牌
ImprovedHeal.png	高级治疗	生命	2	法术			治疗20点生命。		升级	1527	1158	7ai	辅助牌
GreenNymph.png	绿之女神	生命	8	怪物	3	6	2点生命元素：肾副素 指定目标怪物每回合可多次攻击。	生命女神	极稀有		909	5cg	辅助牌
LifeNymph.png	生命女神	生命	8	怪物	3	7	2点生命元素：肾副素 指定目标怪物每回合可多次攻击。		升级		1609	7b0	辅助牌
Adrenaline.png	肾副素	生命	4	法术			指定目标怪物每回合可多次攻击。	肾上腺素	普通	58	40	5c7	辅助牌
Epinephrine.png	肾上腺素	生命	3	法术			指定目标怪物每回合可多次攻击。		升级	1558	1159	7an	辅助牌
Cockatrice.png	鸡怪	生命	3	怪物	4	4		精英鸡怪	普通	27	19	5c0	基本牌
EliteCockatrice.png	精英鸡怪	生命	3	怪物	5	5			升级	1527	1159	7ag	基本牌
Mitosis.png	有丝分裂	生命	5	法术			指定一个未装备武器的怪物的技能变成有丝分裂：产生一个子怪物。怪物使用此技能的消耗与该怪物卡的消耗相同。	有丝分裂（升级）	普通	59	41	5c9	辅助牌
MitosisUpgraded.png	有丝分裂（升级）	生命	4	法术			指定一个未装备武器的怪物的技能变成有丝分裂：产生一个子怪物。怪物使用此技能的消耗与该怪物卡的消耗相同。		升级	1559	1160	7ap	辅助牌
EmeraldDragon.png	绿宝石之龙	生命	10	怪物	10	6		翡翠龙	普通	106	74	5bt	
JadeDragon.png	翡翠龙	生命	12	怪物	12	9			升级	1606	1168	7ad	
Rustler.png	叶之怪	生命	1	怪物	1	1	1点光元素：光合作用 产生2点生命。这个技能在一回合内可以多次使用。 	叶之龙	普通	25	17	5bv	
LeafDragon.png	叶之龙	生命	1	怪物	1	3	1点光元素：光合作用 产生2点生命。这个技能在一回合内可以多次使用。 		升级	1525	1157	7af	
ForestScorpion.png	森林之蝎	生命	3	怪物	1	2	毒液：每次成功攻击增加1点毒素伤害。吃掉本卡将中毒。	蝎子	普通	27	19	5c8	
Scorpion.png	蝎子	生命	3	怪物	2	2	毒液：每次成功攻击增加1点毒素伤害。吃掉本卡将中毒。		升级	1527	1159	7ao	
ThornCarapace.png	带刺甲壳	生命	7	永久			盾：攻击的怪物有75%的概率被感染。	棘刺甲壳	普通	61	43	5c3	
SpineCarapace.png	棘刺甲壳	生命	7	永久			盾：物理伤害减少1。攻击的怪物有75%的概率被感染。		升级	1561	1163	7aj	
EmpathicBond.png	同感誓约	生命	5	永久			每回合结束时你的领地每有1只怪物治疗你1点生命。	野性誓约	普通	59	41	5c6	
FeralBond.png	野性誓约	生命	4	永久			每回合结束时你的领地每有1只怪物治疗你1点生命。		升级	1559	1160	7am	
EmeraldPillar.png	翡翠支柱	生命		永久			每回合产生1点生命元素。	翡翠之塔	普通	6	4	5bs	基本牌
EmeraldTower.png	翡翠之塔	生命		永久			每回合产生1点生命元素。额外产生1点生命元素当你放置这张卡时。		升级	1506	1156	7ac	基本牌
LifePendulum.png	生命钟摆	生命		永久			间隔产生1点生命元素或你的标记元素。	生命钟摆（升级）	普通	24	16	5de	基本牌
LifePendulumUpgraded.png	生命钟摆（升级）	生命		永久			间隔产生1点生命元素或你的标记元素。额外产生1点生命元素当你放置这张卡时。		升级	1524	1156	7bu	基本牌
HornedFrog.png	有角蛙	生命	2	怪物	3	3		巨大蛙	普通	26	18	5bu	基本牌
GiantFrog.png	巨大蛙	生命	2	怪物	5	3			升级	1526	1158	7ae	基本牌
ForestSpirit.png	森之精灵	生命	2	怪物	1	1	1点水元素：生长 森之精灵提高攻击/生命 +2/+2	森之幽灵	普通	26	18	5c1	战略牌
ForestSpectre.png	森之幽灵	生命	3	怪物	2	3	1点水元素：生长 森之精灵提高攻击/生命 +2/+2		升级	1526	1159	7ah	战略牌
DruidicStaff.png	德鲁伊权杖	生命	2	永久	2	7	武器：每回合结束时造成2点伤害。治疗自己5点生命。	翡翠权杖	稀有		146	5c5	辅助牌
JadeStaff.png	翡翠权杖	生命	2	永久	4	7	武器：每回合结束时造成2点伤害。治疗自己5点生命。		升级		1298	7al	辅助牌
